species,feeding,genus,family
"Versteegia cauliflora (K. Schum. & Laut.), ",0.64,,Rubiaceae
"Timonius timon (Spreng.) Merr., ",0.80,,Rubiaceae
"Tarenna buruensis (Miq.) Val., ",0.96,,Rubiaceae
"Tabernaemontana aurantica Gaud., ",0.20,,Apocynaceae
"Sterculia schumanniana (Laut.) Mildbr., ",0.32,,Malvaceae
"Randia schumanniana Merrill & Perry, ",0.00,,Rubiaceae
"Pterocarpus indicus Willd., ",0.28,,Fabaceae
"Psychotria ramuensis Sohmer, ",0.08,,Rubiaceae
"Psychotria micrococca (Laut. & Schum.) Valeton, ",0.85,,Rubiaceae
"Psychotria micralabastra (Laut. & Schum.) Val., ",0.76,,Rubiaceae
"Psychotria leptothyrsa Miquel, ",0.48,,Rubiaceae
Premna obtusifolia R. Br.,0.60,,Lamiaceae
"Pometia pinnata Forster,",0.48,,Sapindaceae
"Pimelodendron amboinicum Hassk., ",0.11,,Euphorbiaceae
"Phyllanthus lamprophyllus Muell. Arg., ",0.62,,Phyllanthaceae
"Pavetta platyclada Laut. & K. Schum., ",0.33,,Rubiaceae
"Osmoxylon sessiliflorum (Laut.) W.R. Philipson, ",0.40,,Araliaceae
"Neuburgia corynocarpa (A. Gray) Leenh., ",0.72,,Apocynaceae
"Neonaclea clemensii Merrill & Perry, ",0.80,,Rubiaceae
"Nauclea orientalis (L.) L., ",0.92,,Rubiaceae
"Mussaenda scratchleyi Wernh., ",0.92,,Rubiaceae
"Morinda bracteata Roxb., ",0.88,,Rubiaceae
"Melanolepis multiglandulosa (Reinw. ex Blanco) Reichb.f. & Zoll., ",0.16,,Euphorbiaceae
"Mallotus mollissimus (Geisel.) Airy Shaw, ",0.62,,Euphorbiaceae
"Macaranga quadriglandulosa Warb., ",0.62,,Euphorbiaceae
"Macaranga novoguineensis J. J. Smith, ",0.88,,Euphorbiaceae
"Macaranga densiflora Warb., ",0.70,,Euphorbiaceae
"Macaranga brachytricha Airy Shaw, ",0.63,,Euphorbiaceae
"Macaranga bifoveata J. J. Smith, ",0.70,,Euphorbiaceae
"Macaranga aleuritoides F. Muell., ",0.69,,Euphorbiaceae
"Leucosyke capitellata (Poir.) Wedd., ",0.00,,Urticaceae
"Kibara cf. coriacea (Blanco) Tul., ",0.48,,Monimiaceae
"Hydriastele microspadix (Becc.) Burret., ",0.00,,Arecaceae
"Homalanthus novoguineensis (Warb.) K. Schum., ",0.26,,Euphorbiaceae
"Gnetum gnemon L., ",0.00,,Gnetaceae
"Gardenia hansemannii K. Schum, ",0.81,,Rubiaceae
"Ficus wassa Roxb., ",0.25,,Moraceae
"Ficus variegata Blanco, ",0.44,,Moraceae
"Ficus trachypison K. Schum., ",0.13,,Moraceae
Ficus tinctoria,0.09,,Moraceae
"Ficus septica Burm., ",0.00,,Moraceae
"Ficus pungens Reinw. ex Blanco, ",0.13,,Moraceae
"Ficus phaeosyce Laut. & K. Schum., ",0.19,,Moraceae
"Ficus nodosa Teysm. & Binn., ",0.24,,Moraceae
Ficus microcarpa,0.00,,Moraceae
"Ficus hispidioides S. Moore, ",0.05,,Moraceae
"Ficus dammaropsis Diels, ",0.52,,Moraceae
"Ficus copiosa Steud., ",0.24,,Moraceae
"Ficus conocephalifolia Ridley, ",0.10,,Moraceae
"Ficus botryocarpa Miq., ",0.09,,Moraceae
"Ficus bernaysii King, ",0.10,,Moraceae
Excoecaria agallocha,0.08,,Euphorbiaceae
"Eupomatia laurina R. Br., ",0.00,,Eupomatiaceae
"Endospermum labios Schodde, ",0.58,,Euphorbiaceae
"Dracaena angustifolia Roxb., ",0.04,,Asparagaceae
"Dolicholobium oxylobum K. Schum, ",0.44,,Rubiaceae
"Codiaeum ludovicianum Airy Shaw, ",0.11,,Euphorbiaceae
"Celtis philippensis Blanco,: ",0.36,,Cannabaceae
"Casearia erythrocarpa Sleum., ",0.15,,Salicaceae
"Breynia cernua (Poir.) Muell. Arg., ",0.00,,Phyllanthaceae
"Artocarpus communis J. R. et G. Forst., ",0.52,,Moraceae
"Amaracarpus nymanii Valeton, ",0.40,,Rubiaceae
