"WG1P3" "WG1P4" "WG2P3" "WG2P6" "WG3P3" "WG3P6" "WG4P1" "WG4P2" "WG5P1" "WG5P3" "WG6P2" "WG6P6"
"WG1P3" NA NA NA NA NA NA NA NA NA NA NA NA
"WG1P4" 0.269269269269269 NA NA NA NA NA NA NA NA NA NA NA
"WG2P3" -0.175175175175175 -0.433433433433433 NA NA NA NA NA NA NA NA NA NA
"WG2P6" 0.883883883883884 0.301301301301301 0.667667667667668 NA NA NA NA NA NA NA NA NA
"WG3P3" 0.991991991991992 0.773773773773774 0.841841841841842 0.445445445445446 NA NA NA NA NA NA NA NA
"WG3P6" 0.953953953953954 0.441441441441441 0.803803803803804 0.0990990990990992 -0.727727727727728 NA NA NA NA NA NA NA
"WG4P1" 1 0.997997997997998 0.93993993993994 0.583583583583584 0.96996996996997 0.705705705705706 NA NA NA NA NA NA
"WG4P2" 0.947947947947948 0.691691691691692 0.841841841841842 0.393393393393393 0.793793793793794 0.603603603603604 0.777777777777778 NA NA NA NA NA
"WG5P1" -0.319319319319319 0.339339339339339 -0.221221221221221 -0.535535535535536 0.757757757757758 0.485485485485486 0.783783783783784 0.65965965965966 NA NA NA NA
"WG5P3" 0.333333333333333 0.067067067067067 0.337337337337337 0.269269269269269 0.647647647647648 0.065065065065065 0.921921921921922 0.499499499499499 0.663663663663664 NA NA NA
"WG6P2" 0.487487487487487 0.309309309309309 0.167167167167167 0.321321321321321 -0.131131131131131 -0.431431431431431 0.831831831831832 0.531531531531531 0.341341341341341 0.539539539539539 NA NA
"WG6P6" 0.705705705705706 0.933933933933934 0.841841841841842 0.173173173173173 0.5995995995996 0.429429429429429 0.745745745745746 0.637637637637638 -0.061061061061061 0.183183183183183 0.269269269269269 NA
