"WG1P3" "WG1P5" "WG2P4" "WG2P6" "WG3P1" "WG3P3" "WG4P1" "WG4P4" "WG5P1" "WG5P4" "WG6P5" "WG6P6"
"WG1P3" NA NA NA NA NA NA NA NA NA NA NA NA
"WG1P5" 0.293293293293293 NA NA NA NA NA NA NA NA NA NA NA
"WG2P4" 0.7997997997998 0.499499499499499 NA NA NA NA NA NA NA NA NA NA
"WG2P6" 0.755755755755756 0.401401401401401 0.223223223223223 NA NA NA NA NA NA NA NA NA
"WG3P1" 0.961961961961962 0.735735735735736 -1 0.303303303303303 NA NA NA NA NA NA NA NA
"WG3P3" 0.965965965965966 0.73973973973974 -0.993993993993994 0.285285285285285 -0.567567567567568 NA NA NA NA NA NA NA
"WG4P1" 0.985985985985986 0.965965965965966 0.963963963963964 0.465465465465466 0.84984984984985 0.853853853853854 NA NA NA NA NA NA
"WG4P4" 0.955955955955956 0.997997997997998 0.903903903903904 0.835835835835836 0.975975975975976 0.973973973973974 -0.82982982982983 NA NA NA NA NA
"WG5P1" -0.329329329329329 0.163163163163163 0.931931931931932 -0.555555555555556 0.603603603603604 0.665665665665666 0.583583583583584 0.927927927927928 NA NA NA NA
"WG5P4" 0.587587587587588 0.391391391391391 0.057057057057057 -0.847847847847848 0.175175175175175 0.289289289289289 0.395395395395395 0.835835835835836 -0.541541541541542 NA NA NA
"WG6P5" -0.559559559559559 -0.545545545545546 -0.523523523523524 0.047047047047047 -0.263263263263263 0.00700700700700696 0.637637637637638 0.883883883883884 -0.091091091091091 -0.0850850850850851 NA NA
"WG6P6" 0.583583583583584 0.767767767767768 0.677677677677678 0.0530530530530531 0.591591591591592 0.457457457457457 0.68968968968969 0.943943943943944 -0.195195195195195 0.087087087087087 -0.395395395395395 NA
