"WG1P1" "WG1P3" "WG2P2" "WG2P6" "WG3P3" "WG3P4" "WG4P1" "WG4P6" "WG5P1" "WG5P2" "WG6P4" "WG6P6"
"WG1P1" NA NA NA NA NA NA NA NA NA NA NA NA
"WG1P3" -0.94 NA NA NA NA NA NA NA NA NA NA NA
"WG2P2" -0.76 -1 NA NA NA NA NA NA NA NA NA NA
"WG2P6" 1 0.98 0.506666666666667 NA NA NA NA NA NA NA NA NA
"WG3P3" 1 1 0.873333333333333 0.666666666666667 NA NA NA NA NA NA NA NA
"WG3P4" 1 0.786666666666667 0.393333333333333 0.253333333333333 -0.806666666666667 NA NA NA NA NA NA NA
"WG4P1" 1 1 0.933333333333333 0.72 0.966666666666667 0.72 NA NA NA NA NA NA
"WG4P6" 1 0.993333333333333 0.826666666666667 0.38 0.96 0.586666666666667 0.113333333333333 NA NA NA NA NA
"WG5P1" -0.0933333333333334 -0.806666666666667 -0.873333333333333 -0.693333333333333 0.913333333333333 0.446666666666667 0.746666666666667 0.426666666666667 NA NA NA NA
"WG5P2" -0.3 -0.1 -0.513333333333333 -0.553333333333333 0.673333333333333 -0.206666666666667 0.54 0.126666666666667 -0.746666666666667 NA NA NA
"WG6P4" -0.346666666666667 -0.953333333333333 -0.866666666666667 -0.0266666666666666 0.74 0.0866666666666667 0.486666666666667 -0.0666666666666667 -1 -0.966666666666667 NA NA
"WG6P6" 1 0.186666666666667 0.413333333333333 -0.6 0.233333333333333 -0.386666666666667 0.273333333333333 -0.406666666666667 -0.713333333333333 -0.826666666666667 -0.88 NA
