"WG1P3" "WG1P6" "WG2P5" "WG2P6" "WG3P3" "WG3P5" "WG4P1" "WG4P5" "WG5P1" "WG5P5" "WG6P3" "WG6P6"
"WG1P3" NA NA NA NA NA NA NA NA NA NA NA NA
"WG1P6" 0.295295295295295 NA NA NA NA NA NA NA NA NA NA NA
"WG2P5" 0.115115115115115 0.817817817817818 NA NA NA NA NA NA NA NA NA NA
"WG2P6" 0.735735735735736 0.877877877877878 -0.381381381381381 NA NA NA NA NA NA NA NA NA
"WG3P3" 0.967967967967968 0.98998998998999 -0.671671671671672 0.133133133133133 NA NA NA NA NA NA NA NA
"WG3P5" 0.391391391391391 0.747747747747748 -0.741741741741742 0.109109109109109 -0.905905905905906 NA NA NA NA NA NA NA
"WG4P1" 0.98998998998999 1 0.431431431431431 0.387387387387387 0.853853853853854 0.993993993993994 NA NA NA NA NA NA
"WG4P5" 0.913913913913914 0.967967967967968 0.691691691691692 0.923923923923924 0.995995995995996 0.88988988988989 -0.581581581581582 NA NA NA NA NA
"WG5P1" -0.139139139139139 0.433433433433433 0.005005005005005 -0.389389389389389 0.553553553553554 0.479479479479479 0.56956956956957 0.923923923923924 NA NA NA NA
"WG5P5" 0.559559559559559 0.763763763763764 -0.465465465465465 0.693693693693694 -0.513513513513513 -0.591591591591592 1 0.967967967967968 0.865865865865866 NA NA NA
"WG6P3" -0.477477477477477 0.463463463463464 -0.713713713713714 0.381381381381381 -0.373373373373373 -0.521521521521522 0.911911911911912 0.937937937937938 -0.193193193193193 -0.0990990990990991 NA NA
"WG6P6" 0.335335335335335 0.901901901901902 -0.489489489489489 -0.125125125125125 0.331331331331331 0.0730730730730731 0.553553553553554 0.977977977977978 -0.075075075075075 0.851851851851852 0.0510510510510511 NA
