"CODE" "PLOT" "BLOCK" "TREAT" "DATE" "SPEC" "SP_CODE" "LIFE.FORM" "NO_STEMS" "BASAL_A" "HEIGHT_M" "LEAVES" "TRUNK" "WEIGHT" "SURV" "WET..g." "DRY" "WATER" "DBH1" "DBH2" "DBH3" "DBH4" "DBH5" "DBH6" "DBH7" "DBH8" "DBH9" "DBH10" "DBH11" "DBH12" "DBH13" "DBH14" "DBH15" "DBH16" "DBH17" "DBH18" "DBH19" "DBH20" "DBH21" "DBH22" "DBH23" "DBH24" "DBH25" "DBH26" "DBH27" "DBH28" "DBH29" "DBH30" "DBH31" "DBH32" "DBH33" "DBH34" "DBH35" "DBH36" "DBH37" "DBH38" "DBH39" "DBH40" "DBH41" "DBH42" "DBH43" "DBH44" "DBH45" "DBH46" "DBH47"
"1" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Commersonia bartramia" "COMMBA" "tree" 1 31.17 6 "4.2" "15.11" "19.31" "KM" 22.28 10.7 11.58 6.3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Trema orientalis" "TREMOR" "tree" 8 26.39 2.46 "3.85" "11.295" "15.145" "KM" 9.06 2.76 6.3 2.3 2 1.5 2 2.5 1.6 1.4 2.7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Macaranga quadriglandulosa" "MACAQU" "tree" 7 23.26 2.87 "3.87" "6.72" "10.59" "KM" 30.41 10.02 20.39 2.6 2.4 1.5 1.7 1.8 1.4 2.6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Paspalum sp. 1" "PASPS1" "grass" NA NA NA "2.43" NA "2.43" "KM" 4.5 1.56 2.94 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Paspalum conjugatum" "PASPCO" "grass" NA NA NA "1.89" NA "1.89" "KM" 5.46 1.05 4.41 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Lepistemon urceolatus" "LEPIUR" "vine" NA NA NA "0.365" NA "0.365" "KM" 12.68 3.76 8.92 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Ipomea sp. 1" "IPOMS1" "vine" NA NA NA "7.5" NA "7.5" "KM" 19.45 4.68 14.77 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Euphorbia geniculata" "EUPHGE" "herb" NA NA NA "0.32" NA "0.32" "KM" 5.32 1.09 4.23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Hyptis capitata" "HYPTCA" "herb" NA NA NA "0.16335" NA "0.16335" "KM" 11.91 2.73 9.18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Calopogonium mucunoides" "CALOMU" "vine" NA NA NA "0.06844" NA "0.06844" "KM" 8.69 3.29 5.4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
