"CODE" "PLOT" "BLOCK" "TREAT" "DATE" "SPEC" "SP_CODE" "LIFE.FORM" "NO_STEMS" "BASAL_A" "HEIGHT_M" "LEAVES" "TRUNK" "WEIGHT" "SURV" "LOOKUPHELP" "WET..g." "DRY" "WATER" "AREA" "SLA" "PHOT_AREA" "HERB" "LOCATION" "LDMC"
"723" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Commersonia bartramia" "COMMBA" "tree" 1 31.17 6 4.2 15.11 19.31 "KM" "" 22.28 10.7 11.58 1232.453 115.182523364486 NA -5.33561139387227 "W" -0.0790357306769889
"724" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Trema orientalis" "TREMOR" "tree" 8 26.39 2.46 3.85 11.295 15.145 "KM" "" 9.06 2.76 6.3 887.847 321.683695652174 NA -6.04211024467657 "W" -0.825318953668429
"725" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Macaranga quadriglandulosa" "MACAQU" "tree" 7 23.26 2.87 3.87 6.72 10.59 "KM" "" 30.41 10.02 20.39 1376.135 137.338822355289 NA -7.43315969635562 "W" -0.710461488929645
"726" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Paspalum sp. 1" "PASPS1" "grass" NA NA NA 2.43 NA 2.43 "KM" "" 4.5 1.56 2.94 269.469 172.736538461538 NA -8.32958012076248 "W" -0.633723760089145
"727" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Paspalum conjugatum" "PASPCO" "grass" NA NA NA 1.89 NA 1.89 "KM" "" 5.46 1.05 4.41 290.467 276.635238095238 NA -12.2427681951178 "W" -1.43508452528932
"728" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Lepistemon urceolatus" "LEPIUR" "vine" NA NA NA 0.365 NA 0.365 "KM" "" 12.68 3.76 8.92 679.764 180.78829787234 NA -6.53985559197389 "W" -0.863876989190115
"729" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Ipomea sp. 1" "IPOMS1" "vine" NA NA NA 7.5 NA 7.5 "KM" "" 19.45 4.68 14.77 1117.602 238.803846153846 NA -8.86509045720532 "W" -1.14929998661373
"730" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Euphorbia geniculata" "EUPHGE" "herb" NA NA NA 0.32 NA 0.32 "KM" "" 5.32 1.09 4.23 283.993 260.544036697248 NA -8.34030633682057 "W" -1.35602429681713
"731" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Hyptis capitata" "HYPTCA" "herb" NA NA NA 0.16335 NA 0.16335 "KM" "" 11.91 2.73 9.18 684.727 250.815750915751 NA -6.44909054200694 "W" -1.21272559543553
"732" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Calopogonium mucunoides" "CALOMU" "vine" NA NA NA 0.06844 NA 0.06844 "KM" "" 8.69 3.29 5.4 590.068 179.351975683891 NA -5.67935003724349 "W" -0.495511388792948
"733" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Trema orientalis" "TREMOR" "tree" 1 NA NA 0.07295 1.2 1.27295 "KM" "" 21.55 5.21 16.34 887.847 170.412092130518 NA -6.04211024467657 "W" -1.14303623366658
"734" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Marsdenia velutina" "MARSVE" "vine" NA NA NA 0.00559 NA 0.00559 "KM" "" 2.1 0.4 1.7 160.77 401.925 NA -8.52353305196242 "W" -1.44691898293633
"735" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Sorghum propinquum" "SORGPR" "grass" NA NA NA 0.08912 NA 0.08912 "KM" "" 3.38 0.7 2.68 232.465 332.092857142857 NA -7.32446476725176 "W" -1.3424917384615
"736" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Dioscorea sp. 1" "DIOSS1" "vine" NA NA NA 0.00814 NA 0.00814 "KM" "" 3.59 0.77 2.82 176.977 229.84025974026 NA -5.45995726215154 "W" -1.29810164908443
"737" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Cordyline terminalis" "CORDTE" "herb" NA NA NA 0.03903 14.87 14.90903 "KM" "" 18.79 5.9 12.89 947.346 160.567118644068 NA -7.47221843225502 "W" -0.781499466039422
"738" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Ageratum conyzoides" "AGERCO" "herb" NA NA NA 0.235 NA 0.235 "KM" "" 9.94 1.68 8.26 669.265 398.372023809524 NA -8.12400513761549 "W" -1.59263079411772
"739" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Euphorbia hirta" "EUPHHI" "herb" NA NA NA 0.01567 NA 0.01567 "KM" "" 3.18 0.73 2.45 152.278 208.6 NA -7.54129313179125 "W" -1.21079876939634
"740" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Trema orientalis" "TREMOR" "tree" 2 4.81 2.4 2.2 1.58 3.78 "KM" "" 15.51 3.93 11.58 889.405 226.311704834606 NA -7.32255192254362 "W" -1.08064004626368
"741" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Mimosa diplotricha" "MIMODI" "herb" NA NA NA 11.42 NA 11.42 "KM" "" 1.74 0.52 1.22 NA NA NA NA "W" -0.852777326151829
"742" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Urena lobata" "URENLO" "herb" NA NA NA 0.405 1.11 1.515 "KM" "" 12.44 3.98 8.46 659.436 165.68743718593 NA -5.86793893040865 "W" -0.754067354321785
"743" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Paspalum conjugatum" "PASPCO" "grass" NA NA NA 1.485 NA 1.485 "KM" "" 7.24 1.44 5.8 424.402 294.723611111111 NA -11.0832799530704 "W" -1.39321480396446
"744" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Breynia cernua" "BREYCE" "shrub" NA NA NA 0.05343 0.0421 0.09553 "KM" "" 17.79 4.57 13.22 1021.498 223.522538293217 NA -7.74416789289453 "W" -1.06221762951743
"745" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Euphorbia geniculata" "EUPHGE" "herb" NA NA NA 0.12942 NA 0.12942 "KM" "" 5.76 0.99 4.77 410.279 414.423232323232 NA -9.04119373612963 "W" -1.57239664075375
"746" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Sorghum propinquum" "SORGPR" "grass" NA NA NA 0.445 NA 0.445 "KM" "" 3.53 1.01 2.52 217.237 215.086138613861 NA -6.34946183536134 "W" -0.914308570670164
"747" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Ageratum conyzoides" "AGERCO" "herb" NA NA NA 0.235 NA 0.235 "KM" "" 11.84 1.77 10.07 683.464 386.137853107345 NA -7.97014674636605 "W" -1.73858116014473
"748" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Paspalum sp. 1" "PASPS1" "grass" NA NA NA 0.94 NA 0.94 "KM" "" 3.72 1.44 2.28 205.232 142.522222222222 NA 0 "W" -0.45953232937844
"749" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Trichospermum pleiostigma" "TRICPL" "tree" 1 NA NA 0.04753 0.3293 0.37683 "KM" "" 14.56 3.62 10.94 1089.152 300.870718232044 NA -6.96070804839222 "W" -1.10595177115616
"750" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Trema orientalis" "TREMOR" "tree" 7 23.15 2.94 5.745 14.34 20.085 "KM" "" 15.9 4.48 11.42 843.03 188.176339285714 NA -6.99134413917044 "W" -0.935743157800971
"751" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Trichospermum pleiostigma" "TRICPL" "tree" 1 6.61 3 0.5 1.63 2.13 "KM" "" 17.18 6.15 11.03 1174.308 190.944390243902 NA -6.47552870877916 "W" -0.584166751446985
"752" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Macaranga quadriglandulosa" "MACAQU" "tree" 1 5.31 3.4 0.71 2.7 3.41 "KM" "" 19.87 10.02 9.85 1297.529 129.493912175649 NA -7.00083888884071 "W" 0.0171116404727209
"753" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Piptrus argenteus" "PIPTAR" "tree" 1 4.52 2.7 1.61 0.28 1.89 "KM" "" 16.52 6.56 9.96 846.064 128.973170731707 NA -6.76307831539782 "W" -0.417586468640509
"754" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Ficus congesta" "FICUCO" "tree" 1 NA NA 0.0658 0.09186 0.15766 "KM" "" 16.61 5.67 10.94 752.568 132.728042328042 NA -7.22639362770026 "W" -0.657236679254175
"755" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Sorghum propinquum" "SORGPR" "grass" NA NA NA 1.295 NA 1.295 "KM" "" 3.83 0.83 3 269.759 325.010843373494 NA 0 "W" -1.2849418668596
"756" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Ageratum conyzoides" "AGERCO" "herb" NA NA NA 2.435 NA 2.435 "KM" "" 8.85 1.48 7.37 582.065 393.287162162162 NA -7.02049957897518 "W" -1.60537561842522
"757" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Paspalum conjugatum" "PASPCO" "grass" NA NA NA 2.055 NA 2.055 "KM" "" 6.89 1.32 5.57 357.861 271.106818181818 NA -9.43374744929648 "W" -1.43976331734091
"758" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Urena lobata" "URENLO" "herb" NA NA NA 0.05564 0.415 0.47064 "KM" "" 3.42 1.45 1.97 189.148 130.446896551724 NA -4.92069478792324 "W" -0.306469986317414
"759" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Piper aduncum" "PIPEAD" "tree" 1 NA NA 0.09653 0.01237 0.1089 "KM" "" 17.82 4.18 13.64 992.867 237.527990430622 NA -7.07535271173052 "W" -1.18269540587865
"760" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Paspalum sp. 1" "PASPS1" "grass" NA NA NA 1.195 NA 1.195 "KM" "" 6.5 1.76 4.74 396.314 225.178409090909 NA -8.02145854771909 "W" -0.990723326656925
"761" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Mikania micrantha" "MIKAMI" "vine" NA NA NA 0.42 NA 0.42 "KM" "" 10.9 1.59 9.31 634.06 398.779874213836 NA -7.98741752857995 "W" -1.76735507505684
"762" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Synedrella nodiflora" "SYNENO" "herb" NA NA NA 0.255 NA 0.255 "KM" "" 6.12 1.73 4.39 408.377 236.056069364162 NA -6.45729019772083 "W" -0.931207818577392
"763" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Calopogonium mucunoides" "CALOMU" "vine" NA NA NA 1.19 NA 1.19 "KM" "" 5.2 1.73 3.47 420.427 243.021387283237 NA -5.40893810458325 "W" -0.69603318544908
"764" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Breynia cernua" "BREYCE" "shrub" NA NA NA 2.27 2.45 4.72 "KM" "" 17.47 5.16 12.31 653.336 126.615503875969 NA -6.8296856177781 "W" -0.869475360702891
"765" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Lepistemon urceolatus" "LEPIUR" "vine" NA NA NA 0.09577 NA 0.09577 "KM" "" 18.03 4.86 13.17 937.78 192.958847736626 NA -6.16016242058346 "W" -0.996903077842787
"766" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Amomum maximum" "AMOMMA" "herb" NA NA NA 0.03521 NA 0.03521 "KM" "" 10.27 1.75 8.52 532.778 304.444571428571 NA -7.51440020667681 "W" -1.5828005529058
"767" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Piper umbellatum" "PIPEUM" "tree" 1 NA NA 0.06026 NA 0.06026 "KM" "" 18.37 3 15.37 988.668 329.556 NA -4.72147540387005 "W" -1.63380526888239
"768" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Ipomea sp. 1" "IPOMS1" "vine" NA NA NA 0.01823 NA 0.01823 "KM" "" 8.03 1.9 6.13 491.674 258.775789473684 NA -8.68437318660547 "W" -1.17134086377572
"769" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Marsdenia velutina" "MARSVE" "vine" NA NA NA 0.01202 NA 0.01202 "KM" "" 3.71 0.58 3.13 311.569 537.187931034483 NA -9.99165048025878 "W" -1.68576017999373
"770" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Marsdenia velutina" "MARSVE" "vine" NA NA NA 0.01373 NA 0.01373 "KM" "" 2.83 0.72 2.11 243.151 337.709722222222 NA -8.57079703323853 "W" -1.07519201446001
"771" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Piptrus argenteus" "PIPTAR" "tree" 1 15.21 4.6 2.6 7.005 9.605 "KM" "" 18.31 7.47 10.84 808.586 108.244444444444 NA -6.44065084476279 "W" -0.372347996866774
"772" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Paspalum sp. 1" "PASPS1" "grass" NA NA NA 1.57 NA 1.57 "KM" "" 4.7 1.35 3.35 236.689 175.325185185185 NA 0 "W" -0.908855753386637
"773" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Lepistemon urceolatus" "LEPIUR" "vine" NA NA NA 0.235 NA 0.235 "KM" "" 17.53 6.41 11.12 915.026 142.74976599064 NA -6.38828261727482 "W" -0.550886017889858
"774" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Hyptis capitata" "HYPTCA" "herb" NA NA NA 0.205 NA 0.205 "KM" "" 8.71 2.3 6.41 493.028 214.36 NA -6.71731316393402 "W" -1.02495014799747
"775" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Synedrella nodiflora" "SYNENO" "herb" NA NA NA 4.21 NA 4.21 "KM" "" 8.04 2.39 5.65 603.603 252.553556485356 NA -8.77514095953803 "W" -0.86036217921493
