"CODE" "PLOT" "BLOCK" "TREAT" "DATE" "SPEC" "SP_CODE" "LIFE.FORM" "NO_STEMS" "BASAL_A" "HEIGHT_M" "LEAVES" "TRUNK" "WEIGHT" "SURV" "LOOKUPHELP" "WET..g." "DRY" "WATER" "AREA" "SLA" "PHOT_AREA" "HERB" "LOCATION" "LDMC"
"750" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Trema orientalis" "TREMOR" "tree" 7 23.15 2.94 5.745 14.34 20.085 "KM" NA 15.9 4.48 11.42 843.03 5.23737949813036 NA -6.99134413917044 "W" -0.935743157800971
"751" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Trichospermum pleiostigma" "TRICPL" "tree" 1 6.61 3 0.5 1.63 2.13 "KM" NA 17.18 6.15 11.03 1174.308 5.25198223509859 NA -6.47552870877916 "W" -0.584166751446985
"752" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Macaranga quadriglandulosa" "MACAQU" "tree" 1 5.31 3.4 0.71 2.7 3.41 "KM" NA 19.87 10.02 9.85 1297.529 4.86363386980793 NA -7.00083888884071 "W" 0.0171116404727209
"753" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Piptrus argenteus" "PIPTAR" "tree" 1 4.52 2.7 1.61 0.28 1.89 "KM" NA 16.52 6.56 9.96 846.064 4.8596044039071 NA -6.76307831539782 "W" -0.417586468640509
"754" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Ficus congesta" "FICUCO" "tree" 1 NA NA 0.0658 0.09186 0.15766 "KM" NA 16.61 5.67 10.94 752.568 4.88830224024916 NA -7.22639362770026 "W" -0.657236679254175
"755" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Sorghum propinquum" "SORGPR" "grass" NA NA NA 1.295 NA 1.295 "KM" NA 3.83 0.83 3 269.759 5.7838585459993 NA 0 "W" -1.2849418668596
"756" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Ageratum conyzoides" "AGERCO" "herb" NA NA NA 2.435 NA 2.435 "KM" NA 8.85 1.48 7.37 582.065 5.97454003756804 NA -7.02049957897518 "W" -1.60537561842522
"757" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Paspalum conjugatum" "PASPCO" "grass" NA NA NA 2.055 NA 2.055 "KM" NA 6.89 1.32 5.57 357.861 5.6025129062504 NA -9.43374744929648 "W" -1.43976331734091
"758" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Urena lobata" "URENLO" "herb" NA NA NA 0.05564 0.415 0.47064 "KM" NA 3.42 1.45 1.97 189.148 4.87096622097183 NA -4.92069478792324 "W" -0.306469986317414
"759" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Piper aduncum" "PIPEAD" "tree" 1 NA NA 0.09653 0.01237 0.1089 "KM" NA 17.82 4.18 13.64 992.867 5.47028547097513 NA -7.07535271173052 "W" -1.18269540587865
"760" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Paspalum sp. 1" "PASPS1" "grass" NA NA NA 1.195 NA 1.195 "KM" NA 6.5 1.76 4.74 396.314 5.416893017295 NA -8.02145854771909 "W" -0.990723326656925
"761" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Mikania micrantha" "MIKAMI" "vine" NA NA NA 0.42 NA 0.42 "KM" NA 10.9 1.59 9.31 634.06 5.98840957095124 NA -7.98741752857995 "W" -1.76735507505684
"762" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Synedrella nodiflora" "SYNENO" "herb" NA NA NA 0.255 NA 0.255 "KM" NA 6.12 1.73 4.39 408.377 5.464069358859 NA -6.45729019772083 "W" -0.931207818577392
"763" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Calopogonium mucunoides" "CALOMU" "vine" NA NA NA 1.19 NA 1.19 "KM" NA 5.2 1.73 3.47 420.427 5.49314945297885 NA -5.40893810458325 "W" -0.69603318544908
"764" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Breynia cernua" "BREYCE" "shrub" NA NA NA 2.27 2.45 4.72 "KM" NA 17.47 5.16 12.31 653.336 4.8411549656873 NA -6.8296856177781 "W" -0.869475360702891
